"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.294985713E1,-1.680361432E0,6.058243420E0,-3.229897407E-1,6.295256170E0
3.295981113E1,-4.807033995E0,3.862460745E0,-4.549040222E-1,6.183293338E0
3.296976513E1,-7.143398936E0,3.008025248E0,-1.350054266E0,7.867592439E0
3.297971912E1,-8.345743180E0,4.052538523E0,1.069609232E-1,9.278250824E0
3.298967413E1,-6.514609830E0,7.754231828E0,2.882094934E0,1.052970672E1
3.299962813E1,-3.908446465E0,1.196200574E1,5.896136967E0,1.389712079E1
3.300958212E1,-3.547007992E-1,1.410937581E1,6.829459004E0,1.567934337E1
3.301953613E1,2.996771697E0,1.393698937E1,5.425315654E0,1.525301161E1
3.302949013E1,3.959208483E0,1.202852951E1,3.478613842E0,1.313246391E1
3.303944412E1,2.682483563E0,1.004531418E1,2.178230210E0,1.062302884E1
3.304939813E1,1.272762846E0,9.415952629E0,1.370182868E0,9.599869284E0
3.305935213E1,2.562713291E-1,9.388383592E0,9.581155474E-1,9.440625343E0
3.306930613E1,-1.466336236E-1,9.502247592E0,8.724772270E-1,9.543344656E0
3.307926112E1,-5.092435129E-2,9.593813819E0,1.183047409E0,9.666615647E0
3.308921513E1,4.488732771E-1,9.630284073E0,1.347537771E0,9.734460262E0
3.309916913E1,6.074988091E-1,9.877175152E0,1.293515492E0,9.980021349E0
3.310912312E1,1.947828864E-1,1.008336201E1,8.392309821E-1,1.012010071E1
3.311907713E1,-4.294008064E-1,1.007744463E1,-6.988241315E-2,1.008683096E1
3.312903113E1,-1.395117296E0,1.005279510E1,-1.050763218E0,1.020338890E1
3.313898513E1,-2.109471924E0,1.011901014E1,-1.885133994E0,1.050704375E1
3.314893912E1,-2.473615465E0,9.952604234E0,-2.625397489E0,1.058611432E1
3.315889313E1,-2.423493571E0,9.672592771E0,-3.005589298E0,1.041469822E1
3.316884713E1,-1.598158059E0,9.471184843E0,-3.027843801E0,1.007101234E1
3.317880212E1,-1.065494839E0,9.314522148E0,-2.660500956E0,9.745453681E0
3.318875613E1,-1.176813619E0,9.327867833E0,-2.051950379E0,9.623123660E0
3.319871013E1,-1.309119079E0,9.202344486E0,-1.865069127E0,9.480264745E0
3.320866413E1,-7.372771027E-1,8.267622625E0,-2.573440300E0,8.690210375E0
3.321861812E1,-1.217840534E-1,5.410097691E0,-5.923057548E0,8.022879726E0
3.322857213E1,6.713186829E-1,7.974280679E-1,-7.934208541E0,8.002388735E0
3.323852613E1,-6.701645156E-1,-3.129868358E0,-1.937425205E0,3.741498743E0
3.324848012E1,1.050109060E0,-8.874905087E0,4.887484666E0,1.018597937E1
3.325843413E1,6.537315153E0,-2.042500021E1,-3.330256824E0,2.170271259E1
3.326838913E1,1.143761107E1,-2.584210871E1,3.082698285E0,2.842774276E1
3.327834312E1,2.149979095E0,-3.169718069E1,-2.350823936E1,3.952177870E1
3.328829713E1,-9.605362655E0,-2.643872352E1,-8.321562604E0,2.933457852E1
3.329825113E1,-4.063530704E0,-2.092430331E1,4.254318334E0,2.173563837E1
3.330820513E1,1.548614308E0,-2.092706554E1,-2.796679392E0,2.116982980E1
3.331815912E1,8.038419519E-1,-1.215318046E1,1.795348974E0,1.231134578E1
3.332811313E1,2.425522994E0,-7.558713800E0,5.450276248E0,9.629269302E0
3.333806713E1,4.516142033E0,-4.579749214E0,1.922335296E0,6.713048094E0
3.334802113E1,4.444081239E0,-2.632559159E0,2.932086289E-1,5.173605811E0
3.335797613E1,6.055678831E0,-3.276792516E0,-6.342790568E-1,6.914544469E0
3.336793013E1,6.682610276E0,-6.186717857E0,-3.434970224E0,9.733025141E0
3.337788413E1,3.661964983E0,-1.092914421E1,-2.953823313E0,1.189879208E1
3.338783812E1,-1.717045840E-2,-1.402708794E1,-1.000046662E0,1.406270188E1
3.339779213E1,-1.011265422E0,-1.053356487E1,-2.316199064E-2,1.058202169E1
3.340774613E1,-8.620656748E-1,-5.217340134E0,6.428338256E-1,5.327009539E0
3.341770012E1,-1.699417216E-1,-1.704910675E0,1.101702260E0,2.036994960E0
3.342765413E1,9.768004712E-1,5.499499279E-1,1.554042278E0,1.916150173E0
3.343760813E1,1.756984662E0,2.087564161E0,1.756824302E0,3.245204286E0
3.344756313E1,1.944331352E0,3.355544570E0,1.882842324E0,4.311055437E0
3.345751712E1,1.847431732E0,4.481765667E0,1.671487405E0,5.127679558E0
3.346747113E1,1.531941850E0,5.426172856E0,8.110640672E-1,5.696316583E0
3.347742513E1,9.906988643E-1,6.786786609E0,3.338409305E-2,6.858795172E0
