"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.262243008E1,2.909716596E0,1.352220660E0,3.892840831E0,5.044716158E0
3.263238508E1,2.930973271E0,9.733795577E-1,3.578027325E0,4.726558116E0
3.264234008E1,2.346292929E0,1.098563767E0,3.178855746E0,4.100860485E0
3.265229508E1,2.044556428E0,1.387254837E0,3.275871579E0,4.103172136E0
3.266225008E1,2.059873502E0,1.738927436E0,3.613972791E0,4.508630258E0
3.267220508E1,2.188038330E0,2.012753715E0,3.774896059E0,4.805052498E0
3.268215979E1,2.358589916E0,2.025268511E0,3.588208789E0,4.747620588E0
3.269211479E1,2.315520495E0,2.028825957E0,3.402051862E0,4.588216080E0
3.270206979E1,2.131121825E0,2.075920016E0,3.162958629E0,4.342284126E0
3.271202479E1,2.145558016E0,2.201076744E0,2.878859377E0,4.211411799E0
3.272197979E1,2.187997399E0,2.611757104E0,2.645891103E0,4.313855297E0
3.273193479E1,2.479024432E0,2.914818292E0,2.577926869E0,4.613830811E0
3.274188979E1,2.639127336E0,3.109480872E0,2.772458471E0,4.931570780E0
3.275184479E1,2.623790089E0,3.248689043E0,2.999191859E0,5.141342893E0
3.276179979E1,2.540909316E0,3.510456024E0,3.032004095E0,5.288910141E0
3.277175479E1,2.260851367E0,3.736332795E0,2.769411487E0,5.171196346E0
3.278170979E1,1.851508119E0,3.847150980E0,2.448248489E0,4.921643389E0
3.279166479E1,1.296800750E0,3.918665936E0,2.082638175E0,4.623312305E0
3.280161979E1,9.177836466E-1,4.175014887E0,1.632567753E0,4.575844577E0
3.281157479E1,6.514140299E-1,4.536349425E0,1.264805955E0,4.754212916E0
3.282152979E1,4.898226805E-1,4.747007648E0,8.106965697E-1,4.840582279E0
3.283148479E1,4.546072760E-1,4.555884388E0,-4.161784977E-2,4.578698765E0
3.284143979E1,3.052222268E-1,3.723992246E0,-1.252120421E0,3.940695929E0
3.285139479E1,6.809192263E-3,2.284500139E0,-2.352388359E0,3.279133764E0
3.286134979E1,-5.976725632E-1,4.173765922E-1,-3.119361497E0,3.203409412E0
3.287130479E1,-1.653193806E0,-1.824735326E0,-3.542467775E0,4.314138003E0
3.288125979E1,-2.911873342E0,-4.087913008E0,-4.181362624E0,6.532521145E0
3.289121479E1,-4.237659909E0,-5.630898494E0,-4.706635256E0,8.474502627E0
3.290116979E1,-5.725592397E0,-6.106654857E0,-5.270370287E0,9.891938374E0
3.291112479E1,-5.976115767E0,-5.133519128E0,-5.792797955E0,9.778726218E0
3.292107979E1,-5.362317168E0,-3.162802801E0,-5.622869682E0,8.388946920E0
3.293103479E1,-4.111887470E0,-1.179905553E0,-4.652889403E0,6.320536012E0
